"inv_date","total","cus_name"
"2012-12-01 00:00:00+00",24000,"Shanghai Xinke"
"2012-12-01 00:00:00+00",32500,"Theragenics"
"2012-12-01 00:00:00+00",0,"Valliant Group"
"2013-01-01 00:00:00+00",7800,"Bebig"
"2013-01-01 00:00:00+00",20000,"Best"
"2013-01-01 00:00:00+00",50550,"BZ"
"2013-01-01 00:00:00+00",24000,"IsoAid"
"2013-01-01 00:00:00+00",1200,"Iso-Ray - Anazao Health"
"2013-01-01 00:00:00+00",6587,"IsoSolutions"
"2013-01-01 00:00:00+00",600,"Iso-Tex Diagnostics"
"2013-01-01 00:00:00+00",3450,"Laboratorios Bacon S.A."
"2013-01-01 00:00:00+00",19000,"Medi Physics Inc. dba GE Healthcare"
"2013-01-01 00:00:00+00",1560,"MP Biomedicals"
"2013-01-01 00:00:00+00",0,"Pathology & Molecular Medicine"
"2013-01-01 00:00:00+00",55200,"PerkinElmer"
"2013-01-01 00:00:00+00",24000,"Shanghai Xinke"
"2013-01-01 00:00:00+00",30000,"Theragenics"
"2013-01-01 00:00:00+00",0,"Valliant Group"
"2013-02-01 00:00:00+00",7800,"Bebig"
"2013-02-01 00:00:00+00",20000,"Best"
"2013-02-01 00:00:00+00",24000,"IsoAid"
"2013-02-01 00:00:00+00",2400,"IsoRay Medical"
"2013-02-01 00:00:00+00",6587,"IsoSolutions"
"2013-02-01 00:00:00+00",600,"Iso-Tex Diagnostics"
"2013-02-01 00:00:00+00",23750,"Medi Physics Inc. dba GE Healthcare"
"2013-02-01 00:00:00+00",1560,"MP Biomedicals"
"2013-02-01 00:00:00+00",28800,"PerkinElmer"
"2013-02-01 00:00:00+00",42000,"Shanghai Xinke"
"2013-02-01 00:00:00+00",32500,"Theragenics"
"2013-03-01 00:00:00+00",7800,"Bebig"
"2013-03-01 00:00:00+00",20000,"Best"
"2013-03-01 00:00:00+00",33700,"BZ"
"2013-03-01 00:00:00+00",24000,"IsoAid"
"2013-03-01 00:00:00+00",1200,"Iso-Ray - Anazao Health"
"2013-03-01 00:00:00+00",6587,"IsoSolutions"
"2013-03-01 00:00:00+00",600,"Iso-Tex Diagnostics"
"2013-03-01 00:00:00+00",3450,"Laboratorios Bacon S.A."
"2013-03-01 00:00:00+00",19000,"Medi Physics Inc. dba GE Healthcare"
"2013-03-01 00:00:00+00",1560,"MP Biomedicals"
"2013-03-01 00:00:00+00",28800,"PerkinElmer"
"2013-03-01 00:00:00+00",0,"Platelet Immunology Lab"
"2013-03-01 00:00:00+00",550,"Reflex Industries, Inc"
"2013-03-01 00:00:00+00",36000,"Shanghai Xinke"
"2013-03-01 00:00:00+00",20000,"Theragenics"
"2013-03-01 00:00:00+00",0,"Valliant Group"
"2013-03-01 00:00:00+00",550,"ViTrax"
"2013-04-01 00:00:00+00",1200,"Anazao Health"
"2013-04-01 00:00:00+00",7800,"Bebig"
"2013-04-01 00:00:00+00",25000,"Best"
"2013-04-01 00:00:00+00",16850,"BZ"
"2013-04-01 00:00:00+00",550,"Immunalysis Corporation"
"2013-04-01 00:00:00+00",24000,"IsoAid"
"2013-04-01 00:00:00+00",6587,"IsoSolutions"
"2013-04-01 00:00:00+00",600,"Iso-Tex Diagnostics"
"2013-04-01 00:00:00+00",3450,"Laboratorios Bacon S.A."
"2013-04-01 00:00:00+00",17100,"Medi Physics Inc. dba GE Healthcare"
"2013-04-01 00:00:00+00",0,"Pathology & Molecular Medicine"
"2013-04-01 00:00:00+00",28800,"PerkinElmer"
"2013-04-01 00:00:00+00",0,"Platelet Immunology Lab"
"2013-04-01 00:00:00+00",36000,"Shanghai Xinke"
"2013-04-01 00:00:00+00",30000,"Theragenics"
"2013-04-01 00:00:00+00",0,"Valliant Group"
"2013-05-01 00:00:00+00",7800,"Bebig"
"2013-05-01 00:00:00+00",25000,"Best"
"2013-05-01 00:00:00+00",0,"Henderson Research Centre"
"2013-05-01 00:00:00+00",30000,"IsoAid"
"2013-05-01 00:00:00+00",1200,"Iso-Ray - Anazao Health"
"2013-05-01 00:00:00+00",6587,"IsoSolutions"
"2013-05-01 00:00:00+00",1200,"Iso-Tex Diagnostics"
"2013-05-01 00:00:00+00",550,"IVD Technologies"
"2013-05-01 00:00:00+00",2400,"Laboratorios Bacon S.A."
"2013-05-01 00:00:00+00",17100,"Medi Physics Inc. dba GE Healthcare"
"2013-05-01 00:00:00+00",0,"Molecular Medicine"
"2013-05-01 00:00:00+00",2220,"MP Biomedicals"
"2013-05-01 00:00:00+00",0,"Pathology & Molecular Medicine"
"2013-05-01 00:00:00+00",28800,"PerkinElmer"
"2013-05-01 00:00:00+00",0,"Platelet Immunology Lab"
"2013-05-01 00:00:00+00",24000,"Shanghai Xinke"
"2013-05-01 00:00:00+00",32500,"Theragenics"
"2013-05-01 00:00:00+00",0,"Valliant Group"
"2013-05-01 00:00:00+00",550,"ViTrax"
"2013-06-01 00:00:00+00",7800,"Bebig"
"2013-06-01 00:00:00+00",15000,"Best"
"2013-06-01 00:00:00+00",50250,"BZ"
"2013-06-01 00:00:00+00",18000,"IsoAid"
"2013-06-01 00:00:00+00",1200,"Iso-Ray - Anazao Health"
"2013-06-01 00:00:00+00",2400,"IsoRay Medical"
"2013-06-01 00:00:00+00",6861,"IsoSolutions"
"2013-06-01 00:00:00+00",2400,"Laboratorios Bacon S.A."
"2013-06-01 00:00:00+00",17100,"Medi Physics Inc. dba GE Healthcare"
"2013-06-01 00:00:00+00",0,"Molecular Medicine"
"2013-06-01 00:00:00+00",720,"MP Biomedicals"
"2013-06-01 00:00:00+00",28800,"PerkinElmer"
"2013-06-01 00:00:00+00",0,"Platelet Immunology Lab"
"2013-06-01 00:00:00+00",36000,"Shanghai Xinke"
"2013-06-01 00:00:00+00",32500,"Theragenics"
"2013-06-01 00:00:00+00",0,"Valliant Group"
"2013-07-01 00:00:00+00",7800,"Bebig"
"2013-07-01 00:00:00+00",25000,"Best"
"2013-07-01 00:00:00+00",20100,"BZ"
"2013-07-01 00:00:00+00",24000,"IsoAid"
"2013-07-01 00:00:00+00",2400,"IsoRay Medical"
"2013-07-01 00:00:00+00",6587,"IsoSolutions"
"2013-07-01 00:00:00+00",600,"Iso-Tex Diagnostics"
"2013-07-01 00:00:00+00",2400,"Laboratorios Bacon S.A."
"2013-07-01 00:00:00+00",17100,"Medi Physics Inc. dba GE Healthcare"
"2013-07-01 00:00:00+00",0,"Molecular Medicine"
"2013-07-01 00:00:00+00",2160,"MP Biomedicals"
"2013-07-01 00:00:00+00",40800,"PerkinElmer"
"2013-07-01 00:00:00+00",48000,"Shanghai Xinke"
"2013-07-01 00:00:00+00",40000,"Theragenics"
"2013-07-01 00:00:00+00",0,"Valliant Group"
"2013-07-01 00:00:00+00",550,"ViTrax"
"2013-08-01 00:00:00+00",7800,"Bebig"
"2013-08-01 00:00:00+00",20000,"Best"
"2013-08-01 00:00:00+00",50250,"BZ"
"2013-08-01 00:00:00+00",550,"Immunalysis Corporation"
"2013-08-01 00:00:00+00",24000,"IsoAid"
"2013-08-01 00:00:00+00",1200,"Iso-Ray - Anazao Health"
"2013-08-01 00:00:00+00",6861,"IsoSolutions"
"2013-08-01 00:00:00+00",600,"Iso-Tex Diagnostics"
"2013-08-01 00:00:00+00",550,"IVD Technologies"
"2013-08-01 00:00:00+00",2400,"Laboratorios Bacon S.A."
"2013-08-01 00:00:00+00",17100,"Medi Physics Inc. dba GE Healthcare"
"2013-08-01 00:00:00+00",0,"MNR - Isotope Development"
"2013-08-01 00:00:00+00",1440,"MP Biomedicals"
"2013-08-01 00:00:00+00",26400,"PerkinElmer"
"2013-08-01 00:00:00+00",0,"Platelet Immunology Lab"
"2013-08-01 00:00:00+00",36000,"Shanghai Xinke"
"2013-08-01 00:00:00+00",27500,"Theragenics"
"2013-08-01 00:00:00+00",0,"Valliant Group"
"2013-09-01 00:00:00+00",7800,"Bebig"
"2013-09-01 00:00:00+00",25000,"Best"
"2013-09-01 00:00:00+00",20100,"BZ"
"2013-09-01 00:00:00+00",18000,"IsoAid"
"2013-09-01 00:00:00+00",2400,"Iso-Ray - Anazao Health"
"2013-09-01 00:00:00+00",6861,"IsoSolutions"
"2013-09-01 00:00:00+00",840,"Iso-Tex Diagnostics"
"2013-09-01 00:00:00+00",2400,"Laboratorios Bacon S.A."
"2013-09-01 00:00:00+00",17100,"Medi Physics Inc. dba GE Healthcare"
"2013-09-01 00:00:00+00",1440,"MP Biomedicals"
"2013-09-01 00:00:00+00",0,"Pathology & Molecular Medicine"
"2013-09-01 00:00:00+00",26400,"PerkinElmer"
"2013-09-01 00:00:00+00",36000,"Shanghai Xinke"
"2013-09-01 00:00:00+00",30000,"Theragenics"
"2013-09-01 00:00:00+00",0,"Valliant Group"
"2013-09-01 00:00:00+00",550,"ViTrax"
"2013-10-01 00:00:00+00",1200,"Anazao Health"
"2013-10-01 00:00:00+00",7800,"Bebig"
"2013-10-01 00:00:00+00",20000,"Best"
"2013-10-01 00:00:00+00",40200,"BZ"
"2013-10-01 00:00:00+00",0,"Henderson Research Centre"
"2013-10-01 00:00:00+00",30000,"IsoAid"
"2013-10-01 00:00:00+00",2400,"Iso-Ray - Anazao Health"
"2013-10-01 00:00:00+00",600,"Iso-Tex Diagnostics"
"2013-10-01 00:00:00+00",6000,"Laboratorios Bacon S.A."
"2013-10-01 00:00:00+00",17100,"Medi Physics Inc. dba GE Healthcare"
"2013-10-01 00:00:00+00",1440,"MP Biomedicals"
"2013-10-01 00:00:00+00",26400,"PerkinElmer"
"2013-10-01 00:00:00+00",0,"Platelet Immunology Lab"
"2013-10-01 00:00:00+00",48000,"Shanghai Xinke"
"2013-10-01 00:00:00+00",30000,"Theragenics"
"2013-10-01 00:00:00+00",0,"Valliant Group"
"2013-11-01 00:00:00+00",7800,"Bebig"
"2013-11-01 00:00:00+00",20000,"Best"
"2013-11-01 00:00:00+00",46230,"BZ"
"2013-11-01 00:00:00+00",24000,"IsoAid"
"2013-11-01 00:00:00+00",6861,"IsoSolutions"
"2013-11-01 00:00:00+00",600,"Iso-Tex Diagnostics"
"2013-11-01 00:00:00+00",550,"IVD Technologies"
"2013-11-01 00:00:00+00",3600,"Laboratorios Bacon S.A."
"2013-11-01 00:00:00+00",17100,"Medi Physics Inc. dba GE Healthcare"
"2013-11-01 00:00:00+00",1440,"MP Biomedicals"
"2013-11-01 00:00:00+00",0,"National Institute of Stds & Tech"
"2013-11-01 00:00:00+00",0,"Pathology & Molecular Medicine"
"2013-11-01 00:00:00+00",26400,"PerkinElmer"
"2013-11-01 00:00:00+00",24000,"Shanghai Xinke"
"2013-11-01 00:00:00+00",36250,"Theragenics"
"2013-11-01 00:00:00+00",0,"Valliant Group"
"2013-12-01 00:00:00+00",7800,"Bebig"
"2013-12-01 00:00:00+00",25000,"Best"
"2013-12-01 00:00:00+00",40200,"BZ"
"2013-12-01 00:00:00+00",18000,"IsoAid"
"2013-12-01 00:00:00+00",1200,"Iso-Ray - Anazao Health"
"2013-12-01 00:00:00+00",6861,"IsoSolutions"
"2013-12-01 00:00:00+00",0,"IsoSolutions - Jaco"
"2013-12-01 00:00:00+00",600,"Iso-Tex Diagnostics"
"2013-12-01 00:00:00+00",17100,"Medi Physics Inc. dba GE Healthcare"
"2013-12-01 00:00:00+00",1440,"MP Biomedicals"
"2013-12-01 00:00:00+00",37200,"PerkinElmer"
"2013-12-01 00:00:00+00",36000,"Shanghai Xinke"
"2013-12-01 00:00:00+00",25000,"Theragenics"
"2014-01-01 00:00:00+00",1200,"Anazao Health"
"2014-01-01 00:00:00+00",7800,"Bebig"
"2014-01-01 00:00:00+00",20000,"Best"
"2014-01-01 00:00:00+00",20100,"BZ"
"2014-01-01 00:00:00+00",700,"Cisbio"
"2014-01-01 00:00:00+00",550,"Immunalysis Corporation"
"2014-01-01 00:00:00+00",30000,"IsoAid"
"2014-01-01 00:00:00+00",6861,"IsoSolutions"
"2014-01-01 00:00:00+00",600,"Iso-Tex Diagnostics"
"2014-01-01 00:00:00+00",550,"IVD Technologies"
"2014-01-01 00:00:00+00",4800,"Laboratorios Bacon S.A."
"2014-01-01 00:00:00+00",17100,"Medi Physics Inc. dba GE Healthcare"
"2014-01-01 00:00:00+00",720,"MP Biomedicals"
"2014-01-01 00:00:00+00",58800,"PerkinElmer"
"2014-01-01 00:00:00+00",0,"Platelet Immunology Lab"
"2014-01-01 00:00:00+00",24000,"Shanghai Xinke"
"2014-01-01 00:00:00+00",22500,"Theragenics"
"2014-01-01 00:00:00+00",0,"Valliant Group"
"2014-01-01 00:00:00+00",550,"ViTrax"
"2014-02-01 00:00:00+00",7800,"Bebig"
"2014-02-01 00:00:00+00",20000,"Best"
"2014-02-01 00:00:00+00",24000,"IsoAid"
"2014-02-01 00:00:00+00",1200,"Iso-Ray - Anazao Health"
"2014-02-01 00:00:00+00",6861,"IsoSolutions"
"2014-02-01 00:00:00+00",8400,"IsoSolutions - Jaco"
"2014-02-01 00:00:00+00",600,"Iso-Tex Diagnostics"
"2014-02-01 00:00:00+00",2400,"Laboratorios Bacon S.A."
"2014-02-01 00:00:00+00",17100,"Medi Physics Inc. dba GE Healthcare"
"2014-02-01 00:00:00+00",1440,"MP Biomedicals"
"2014-02-01 00:00:00+00",0,"Pathology & Molecular Medicine"
"2014-02-01 00:00:00+00",20800,"PerkinElmer"
"2014-02-01 00:00:00+00",0,"Platelet Immunology Lab"
"2014-02-01 00:00:00+00",36000,"Shanghai Xinke"
"2014-02-01 00:00:00+00",33750,"Theragenics"
"2014-02-01 00:00:00+00",0,"Valliant Group"
"2014-03-01 00:00:00+00",1200,"Anazao Health"
"2014-03-01 00:00:00+00",7800,"Bebig"
"2014-03-01 00:00:00+00",25000,"Best"
"2014-03-01 00:00:00+00",54270,"BZ"
"2014-03-01 00:00:00+00",18000,"IsoAid"
"2014-03-01 00:00:00+00",6861,"IsoSolutions"
"2014-03-01 00:00:00+00",600,"Iso-Tex Diagnostics"
"2014-03-01 00:00:00+00",550,"IVD Technologies"
"2014-03-01 00:00:00+00",3600,"Laboratorios Bacon S.A."
"2014-03-01 00:00:00+00",17100,"Medi Physics Inc. dba GE Healthcare"
"2014-03-01 00:00:00+00",1440,"MP Biomedicals"
"2014-03-01 00:00:00+00",28800,"PerkinElmer"
"2014-03-01 00:00:00+00",0,"Platelet Immunology Lab"
"2014-03-01 00:00:00+00",550,"Reflex Industries, Inc"
"2014-03-01 00:00:00+00",36000,"Shanghai Xinke"
"2014-03-01 00:00:00+00",32500,"Theragenics"
"2014-03-01 00:00:00+00",0,"Valliant Group"
"2014-04-01 00:00:00+00",1200,"Anazao Health"
"2014-04-01 00:00:00+00",7800,"Bebig"
"2014-04-01 00:00:00+00",20000,"Best"
"2014-04-01 00:00:00+00",50250,"BZ"
"2014-04-01 00:00:00+00",0,"Chemical Engineering"
"2014-04-01 00:00:00+00",0,"Guangzhou Diqi Trading Co., Ltd"
"2014-04-01 00:00:00+00",550,"Immunalysis Corporation"
"2014-04-01 00:00:00+00",19200,"IsoAid"
"2014-04-01 00:00:00+00",6861,"IsoSolutions"
"2014-04-01 00:00:00+00",600,"Iso-Tex Diagnostics"
"2014-04-01 00:00:00+00",17100,"Medi Physics Inc. dba GE Healthcare"
"2014-04-01 00:00:00+00",1440,"MP Biomedicals"
"2014-04-01 00:00:00+00",26400,"PerkinElmer"
"2014-04-01 00:00:00+00",36000,"Shanghai Xinke"
"2014-04-01 00:00:00+00",40000,"Theragenics"
"2014-04-01 00:00:00+00",0,"Valliant Group"
"2014-04-01 00:00:00+00",550,"ViTrax"
"2014-05-01 00:00:00+00",200,"AtomVie"
"2014-05-01 00:00:00+00",7800,"Bebig"
"2014-05-01 00:00:00+00",20000,"Best"
"2014-05-01 00:00:00+00",20100,"BZ"
"2014-05-01 00:00:00+00",19200,"IsoAid"
"2014-05-01 00:00:00+00",1200,"Iso-Ray - Anazao Health"
"2014-05-01 00:00:00+00",6861,"IsoSolutions"
"2014-05-01 00:00:00+00",7050,"IsoSolutions - Jaco"
"2014-05-01 00:00:00+00",600,"Iso-Tex Diagnostics"
"2014-05-01 00:00:00+00",3600,"Laboratorios Bacon S.A."
"2014-05-01 00:00:00+00",56700,"Medi Physics Inc. dba GE Healthcare"
"2014-05-01 00:00:00+00",26400,"PerkinElmer"
"2014-05-01 00:00:00+00",0,"Platelet Immunology Lab"
"2014-05-01 00:00:00+00",36000,"Shanghai Xinke"
"2014-05-01 00:00:00+00",30000,"Theragenics"
"2014-05-01 00:00:00+00",150,"Valliant Group"
"2014-06-01 00:00:00+00",150,"AtomVie"
"2014-06-01 00:00:00+00",7800,"Bebig"
"2014-06-01 00:00:00+00",25000,"Best"
"2014-06-01 00:00:00+00",44220,"BZ"
"2014-06-01 00:00:00+00",0,"Henderson Research Centre"
"2014-06-01 00:00:00+00",22800,"IsoAid"
"2014-06-01 00:00:00+00",1200,"Iso-Ray - Anazao Health"
"2014-06-01 00:00:00+00",6861,"IsoSolutions"
"2014-06-01 00:00:00+00",3564,"IsoSolutions - Jaco"
"2014-06-01 00:00:00+00",600,"Iso-Tex Diagnostics"
"2014-06-01 00:00:00+00",550,"IVD Technologies"
